question,answer,hint1,hint2,distractor1,distractor2,distractor3,category,style,difficulty,emoji
Count the letters in this food's name and you get 6. Double that is 12.,turnip,It belongs to the food group.,It has 6 letters.,squash,cabbage,date,food,math,medium,🍎
Count the letters in this science's name and you get 5. Double that is 10.,speed,It belongs to the science group.,It ends with 'D'.,wire,nose,plasma,science,math,tricky,🔬
This animals is known for having 8 letters in its name.,goldfish,It belongs to the animals group.,It starts with 'G'.,alpaca,bear,panda,animals,trivia,easy,🐾
"Half of 8 is 4, which is how many letters this food has.",kiwi,It belongs to the food group.,It has 4 letters.,sandwich,macaroni,bagel,food,math,medium,🍎
Add 83 and 0 together. What is the total?,83,It is a number.,It is greater than 82.,24,65,31,math,rhyming,easy,🧮
"I am a holidays with exactly 5 letters. My last letter is very important, it is 'E'.",stage,It belongs to the holidays group.,It has 5 letters.,booth,leprechaun,yam,holidays,lateral,medium,🎉
"Double the number 130 is not me, but half of 130 is!",65,It is a number.,It is greater than 64.,91,84,41,math,math,easy,🧮
Take 91 and subtract 5. What do you get?,86,It is a number.,It is between 85 and 87.,74,39,37,math,wordplay,medium,🧮
"In the holidays category, this item is very famous. It starts with 'E'.",egg,It belongs to the holidays group.,It starts with 'E'.,violin,maraca,candle,holidays,trivia,easy,🎉
You cannot spell this sports without the letter 'T'.,tag,It belongs to the sports group.,It ends with 'G'.,hopscotch,weightlifting,lacrosse,sports,lateral,tricky,⚽
Think of a common nature. It ends with 'T'. What is it?,comet,It belongs to the nature group.,It ends with 'T'.,tree,canyon,dirt,nature,what-am-i,tricky,🌿
"If you spell my name backwards, it looks like 'ybgur'.",rugby,It belongs to the sports group.,It has 5 letters.,relay,catch,swimming,sports,wordplay,medium,⚽
Count the letters in this school's name and you get 5. Double that is 10.,coach,It belongs to the school group.,It ends with 'H'.,dictionary,alarm,assignment,school,math,tricky,✏️
"Half of 18 is 9, which is how many letters this food has.",artichoke,It belongs to the food group.,It starts with 'A'.,rice,walnut,muffin,food,math,easy,🍎
A fun fact about this school is that its name starts with 'P' and ends with 'N'.,presentation,It belongs to the school group.,It has 12 letters.,binder,crayon,graduation,school,trivia,medium,✏️
Subtract 2 from 9 and you get the letter count of this silly.,glasses,It belongs to the silly group.,It starts with 'G'.,shelf,belt,fork,silly,math,easy,🤪
I sound a little bit like the silly word 'unow'. I am a nature.,snow,It belongs to the nature group.,It ends with 'W'.,root,iceberg,meteor,nature,rhyming,tricky,🌿
You cannot spell this animals without the letter 'S'.,shrimp,It belongs to the animals group.,It starts with 'S'.,rabbit,sheep,camel,animals,lateral,easy,🐾
This is a well-known space. My first letter is 'C'.,carriage,It belongs to the space group.,It ends with 'E'.,libra,wheelbarrow,pisces,space,what-am-i,tricky,🚀
"I am a space with exactly 8 letters. My last letter is very important, it is 'W'.",snowplow,It belongs to the space group.,It starts with 'S'.,airplane,jupiter,ufo,space,lateral,easy,🚀
You might see this words around. It has 5 letters in its name. What could it be?,short,It belongs to the words group.,It has 5 letters.,dark,warm,back,words,what-am-i,medium,🔠
Subtract 2 from 7 and you get the letter count of this food.,bread,It belongs to the food group.,It starts with 'B'.,date,macaroni,spaghetti,food,math,easy,🍎
You cannot spell this holidays without the letter 'G'.,gift,It belongs to the holidays group.,It ends with 'T'.,bagpipe,saxophone,monster,holidays,lateral,tricky,🎉
Take away my first letter and you get something else. Put it back and I am this words.,safe,It belongs to the words group.,It starts with 'S'.,tiny,clean,full,words,wordplay,easy,🔠
This is a well-known sports. My first letter is 'C'.,catch,It belongs to the sports group.,It has 5 letters.,softball,tag,solitaire,sports,what-am-i,medium,⚽
This is a well-known space. My first letter is 'F'.,ferry,It belongs to the space group.,It has 5 letters.,policecar,glider,bicycle,space,what-am-i,medium,🚀
I am the number that comes right after 24. What number am I?,25,It is a number.,It is between 24 and 26.,14,67,37,math,trivia,tricky,🧮
I am the answer to 41 plus 1.,42,It is a number.,It is greater than 41.,83,93,16,math,math,easy,🧮
This is a well-known food. My first letter is 'C'.,croissant,It belongs to the food group.,It starts with 'C'.,date,cucumber,apricot,food,what-am-i,easy,🍎
Subtract 2 from 8 and you get the letter count of this nature.,tundra,It belongs to the nature group.,It has 6 letters.,lake,sand,stream,nature,math,medium,🌿
I sound a little bit like the silly word 'oonster'. I am a holidays.,monster,It belongs to the holidays group.,It ends with 'R'.,flag,piano,ukulele,holidays,rhyming,tricky,🎉
Mix my letters and you get 'kteaar'. I am a sports.,karate,It belongs to the sports group.,It ends with 'E'.,longjump,bingo,tennis,sports,wordplay,tricky,⚽
Count the letters in this sports's name and you get 4. Double that is 8.,pool,It belongs to the sports group.,It starts with 'P'.,archery,bowling,powerlifting,sports,math,easy,⚽
"If you try to rhyme with me, you might say 'vaurus'. What space am I?",taurus,It belongs to the space group.,It has 6 letters.,cosmonaut,taxi,crane,space,rhyming,medium,🚀
Count the letters in this science's name and you get 7. Double that is 14.,element,It belongs to the science group.,It starts with 'E'.,electricity,testtube,lip,science,math,easy,🔬
I am the number that comes right after 61. What number am I?,62,It is a number.,It is between 61 and 63.,30,91,23,math,what-am-i,medium,🧮
People often forget I have 7 letters. I am a silly.,dustpan,It belongs to the silly group.,It has 7 letters.,fridge,blouse,freezer,silly,lateral,medium,🤪
"If you spell my name backwards, it looks like 'tuanortsa'.",astronaut,It belongs to the space group.,It has 9 letters.,dumptruck,tram,bulldozer,space,wordplay,medium,🚀
People often forget I have 8 letters. I am a school.,mousepad,It belongs to the school group.,It starts with 'M'.,keyboard,grade,exam,school,lateral,easy,✏️
You cannot spell this sports without the letter 'B'.,bridge,It belongs to the sports group.,It has 6 letters.,marathon,kite,taekwondo,sports,lateral,medium,⚽
I sound a little bit like the silly word 'oilk'. I am a food.,milk,It belongs to the food group.,It starts with 'M'.,icecream,pecan,zucchini,food,rhyming,easy,🍎
Many kids love this animals. It starts with 'M'. Who am I?,millipede,It belongs to the animals group.,It ends with 'E'.,guineapig,goldfish,lion,animals,what-am-i,tricky,🐾
Think of a common nature. It ends with 'H'. What is it?,marsh,It belongs to the nature group.,It has 5 letters.,tundra,bog,dusk,nature,what-am-i,medium,🌿
I am exactly 1 more than 76.,77,It is a number.,It is between 76 and 78.,47,23,16,math,trivia,tricky,🧮
Take away my first letter and you get something else. Put it back and I am this silly.,hat,It belongs to the silly group.,It has 3 letters.,freezer,plate,beanie,silly,wordplay,medium,🤪
"If you have 21 apples and get 1 more, how many do you have?",22,It is a number.,It is between 21 and 23.,82,5,71,math,wordplay,medium,🧮
I sound a little bit like the silly word 'eoat'. I am a silly.,coat,It belongs to the silly group.,It has 4 letters.,blanket,dustpan,bulb,silly,rhyming,medium,🤪
"If you have 54 apples and get 1 more, how many do you have?",55,It is a number.,It is between 54 and 56.,2,75,82,math,rhyming,tricky,🧮
You cannot spell this nature without the letter 'A'.,afternoon,It belongs to the nature group.,It ends with 'N'.,bog,creek,winter,nature,lateral,tricky,🌿
"If you have 75 apples and get 1 more, how many do you have?",76,It is a number.,It is between 75 and 77.,38,55,26,math,lateral,medium,🧮
"If you add 42 and take away 10, you are left with me.",32,It is a number.,It is greater than 31.,61,30,84,math,math,easy,🧮
"In the science category, this item is very famous. It starts with 'H'.",hand,It belongs to the science group.,It starts with 'H'.,ankle,thermometer,machine,science,trivia,easy,🔬
People often forget I have 5 letters. I am a science.,metal,It belongs to the science group.,It ends with 'L'.,arm,rubber,electricity,science,lateral,tricky,🔬
"If you spell my name backwards, it looks like 'edarg'.",grade,It belongs to the school group.,It starts with 'G'.,locker,project,presentation,school,wordplay,easy,✏️
I sound a little bit like the silly word 'neprechaun'. I am a holidays.,leprechaun,It belongs to the holidays group.,It starts with 'L'.,potofgold,concert,fair,holidays,rhyming,easy,🎉
This food is known for having 9 letters in its name.,hamburger,It belongs to the food group.,It starts with 'H'.,kiwi,almond,macaroni,food,trivia,easy,🍎
"Half of 12 is 6, which is how many letters this sports has.",tennis,It belongs to the sports group.,It starts with 'T'.,rollerblading,volleyball,football,sports,math,easy,⚽
Count the letters in this silly's name and you get 7. Double that is 14.,slipper,It belongs to the silly group.,It has 7 letters.,earring,bed,iron,silly,math,medium,🤪
You cannot spell this words without the letter 'F'.,far,It belongs to the words group.,It starts with 'F'.,proud,empty,kind,words,lateral,easy,🔠
I sound a little bit like the silly word 'elosed'. I am a words.,closed,It belongs to the words group.,It ends with 'D'.,tall,over,gentle,words,rhyming,tricky,🔠
Take away my first letter and you get something else. Put it back and I am this food.,garlic,It belongs to the food group.,It starts with 'G'.,croissant,artichoke,pie,food,wordplay,easy,🍎
"In the nature category, this item is very famous. It starts with 'E'.",evening,It belongs to the nature group.,It has 7 letters.,asteroid,root,moon,nature,trivia,medium,🌿
Many kids love this science. It starts with 'T'. Who am I?,thermometer,It belongs to the science group.,It ends with 'R'.,skin,brush,back,science,what-am-i,tricky,🔬
Many kids love this animals. It starts with 'H'. Who am I?,hippo,It belongs to the animals group.,It starts with 'H'.,owl,worm,butterfly,animals,what-am-i,easy,🐾
A fun fact about this words is that its name starts with 'B' and ends with 'E'.,brave,It belongs to the words group.,It has 5 letters.,last,center,soft,words,trivia,medium,🔠
"If you spell my name backwards, it looks like 'amall'.",llama,It belongs to the animals group.,It has 5 letters.,chicken,grasshopper,duck,animals,wordplay,medium,🐾
"In the food category, this item is very famous. It starts with 'A'.",apricot,It belongs to the food group.,It has 7 letters.,toast,apple,cookie,food,trivia,medium,🍎
Take away my first letter and you get something else. Put it back and I am this animals.,giraffe,It belongs to the animals group.,It ends with 'E'.,stingray,cricket,catfish,animals,wordplay,tricky,🐾
"Half of 18 is 9, which is how many letters this school has.",geography,It belongs to the school group.,It starts with 'G'.,project,ruler,planner,school,math,easy,✏️
"If you add 82 and take away 10, you are left with me.",72,It is a number.,It is between 71 and 73.,21,40,94,math,math,tricky,🧮
"In the nature category, this item is very famous. It starts with 'T'.",tornado,It belongs to the nature group.,It starts with 'T'.,jungle,wind,beach,nature,trivia,easy,🌿
"Half of 12 is 6, which is how many letters this holidays has.",cymbal,It belongs to the holidays group.,It has 6 letters.,wreath,cranberry,banner,holidays,math,medium,🎉
Take away my first letter and you get something else. Put it back and I am this school.,history,It belongs to the school group.,It ends with 'Y'.,uniform,globe,spelling,school,wordplay,tricky,✏️
People often forget I have 4 letters. I am a science.,tool,It belongs to the science group.,It starts with 'T'.,silk,lip,arm,science,lateral,easy,🔬
This words is known for having 5 letters in its name.,heavy,It belongs to the words group.,It starts with 'H'.,rough,proud,weak,words,trivia,easy,🔠
Count the letters in this words's name and you get 5. Double that is 10.,under,It belongs to the words group.,It has 5 letters.,weak,old,dark,words,math,medium,🔠
A fun fact about this silly is that its name starts with 'W' and ends with 'E'.,wardrobe,It belongs to the silly group.,It has 8 letters.,couch,watch,belt,silly,trivia,medium,🤪
You might see this school around. It has 3 letters in its name. What could it be?,gym,It belongs to the school group.,It has 3 letters.,microphone,librarian,backpack,school,what-am-i,medium,✏️
"Half of 10 is 5, which is how many letters this silly has.",quilt,It belongs to the silly group.,It has 5 letters.,skirt,bookcase,pot,silly,math,medium,🤪
Mix my letters and you get 'nunrnig'. I am a sports.,running,It belongs to the sports group.,It starts with 'R'.,racquetball,darts,fencing,sports,wordplay,easy,⚽
"If you try to rhyme with me, you might say 'uaucer'. What space am I?",saucer,It belongs to the space group.,It has 6 letters.,mars,yacht,wheelbarrow,space,rhyming,medium,🚀
"In the school category, this item is very famous. It starts with 'N'.",notebook,It belongs to the school group.,It ends with 'K'.,principal,snack,sticker,school,trivia,tricky,✏️
"I am a sports with exactly 6 letters. My last letter is very important, it is 'G'.",skiing,It belongs to the sports group.,It starts with 'S'.,soccer,pingpong,fencing,sports,lateral,easy,⚽
You cannot spell this silly without the letter 'S'.,sink,It belongs to the silly group.,It ends with 'K'.,cap,cabinet,glove,silly,lateral,tricky,🤪
Subtract 2 from 8 and you get the letter count of this sports.,discus,It belongs to the sports group.,It starts with 'D'.,snowboarding,workout,kickball,sports,math,easy,⚽
"If you try to rhyme with me, you might say 'oonorail'. What space am I?",monorail,It belongs to the space group.,It has 8 letters.,virgo,timemachine,wheelbarrow,space,rhyming,medium,🚀
Count the letters in this silly's name and you get 12. Double that is 24.,ironingboard,It belongs to the silly group.,It ends with 'D'.,sofa,spoon,washer,silly,math,tricky,🤪
A fun fact about this food is that its name starts with 'A' and ends with 'S'.,asparagus,It belongs to the food group.,It ends with 'S'.,carrot,honeydew,raspberry,food,trivia,tricky,🍎
People often forget I have 6 letters. I am a silly.,sponge,It belongs to the silly group.,It ends with 'E'.,shampoo,drawer,lid,silly,lateral,tricky,🤪
"Half of 10 is 5, which is how many letters this animals has.",koala,It belongs to the animals group.,It has 5 letters.,lobster,rhino,kangaroo,animals,math,medium,🐾
This words is known for having 4 letters in its name.,late,It belongs to the words group.,It starts with 'L'.,bright,safe,angry,words,trivia,easy,🔠
"If you spell my name backwards, it looks like 'tobor'.",robot,It belongs to the science group.,It ends with 'T'.,microscope,motion,drill,science,wordplay,tricky,🔬
Count the letters in this nature's name and you get 9. Double that is 18.,hurricane,It belongs to the nature group.,It has 9 letters.,bog,glacier,river,nature,math,medium,🌿
Many kids love this food. It starts with 'B'. Who am I?,brownie,It belongs to the food group.,It ends with 'E'.,fig,raspberry,artichoke,food,what-am-i,tricky,🍎
A fun fact about this holidays is that its name starts with 'V' and ends with 'E'.,vampire,It belongs to the holidays group.,It ends with 'E'.,flag,kinara,banner,holidays,trivia,tricky,🎉
You might see this sports around. It has 9 letters in its name. What could it be?,triathlon,It belongs to the sports group.,It has 9 letters.,catch,football,medal,sports,what-am-i,medium,⚽
You cannot spell this school without the letter 'C'.,clock,It belongs to the school group.,It starts with 'C'.,quiz,projector,locker,school,lateral,easy,✏️
This school is known for having 8 letters in its name.,lunchbox,It belongs to the school group.,It has 8 letters.,board,star,gymnastics,school,trivia,medium,✏️
Subtract 2 from 10 and you get the letter count of this holidays.,trombone,It belongs to the holidays group.,It starts with 'T'.,accordion,streamer,yam,holidays,math,easy,🎉
"If you spell my name backwards, it looks like 'laerec'.",cereal,It belongs to the food group.,It starts with 'C'.,popcorn,croissant,eggplant,food,wordplay,easy,🍎
My name rhymes with 'cssignment'. I am part of the school family.,assignment,It belongs to the school group.,It starts with 'A'.,diploma,table,speaker,school,rhyming,easy,✏️
Subtract 2 from 8 and you get the letter count of this holidays.,sleigh,It belongs to the holidays group.,It has 6 letters.,ticket,leprechaun,rose,holidays,math,medium,🎉
This holidays is known for having 7 letters in its name.,trumpet,It belongs to the holidays group.,It starts with 'T'.,ticket,harp,cranberry,holidays,trivia,easy,🎉
Subtract 2 from 8 and you get the letter count of this food.,muffin,It belongs to the food group.,It has 6 letters.,rice,banana,broccoli,food,math,medium,🍎
This is a well-known food. My first letter is 'L'.,lime,It belongs to the food group.,It ends with 'E'.,macaroni,radish,apple,food,what-am-i,tricky,🍎
This is a well-known silly. My first letter is 'B'.,blender,It belongs to the silly group.,It starts with 'B'.,switch,slipper,comb,silly,what-am-i,easy,🤪
Subtract 2 from 7 and you get the letter count of this school.,swing,It belongs to the school group.,It has 5 letters.,project,teacher,map,school,math,medium,✏️
"I am a nature with exactly 6 letters. My last letter is very important, it is 'G'.",spring,It belongs to the nature group.,It starts with 'S'.,wave,dark,mist,nature,lateral,easy,🌿
This is a well-known words. My first letter is 'I'.,in,It belongs to the words group.,It has 2 letters.,left,sad,happy,words,what-am-i,medium,🔠
"In the nature category, this item is very famous. It starts with 'M'.",moon,It belongs to the nature group.,It starts with 'M'.,stone,tornado,pond,nature,trivia,easy,🌿
Subtract 2 from 10 and you get the letter count of this sports.,highjump,It belongs to the sports group.,It starts with 'H'.,taekwondo,sweat,relay,sports,math,easy,⚽
You cannot spell this space without the letter 'C'.,canoe,It belongs to the space group.,It has 5 letters.,portal,chariot,ufo,space,lateral,medium,🚀
"Half of 14 is 7, which is how many letters this sports has.",fencing,It belongs to the sports group.,It has 7 letters.,fetch,bowling,doll,sports,math,medium,⚽
This is a well-known school. My first letter is 'S'.,speaker,It belongs to the school group.,It starts with 'S'.,gym,computer,alarm,school,what-am-i,easy,✏️
"Half of 10 is 5, which is how many letters this school has.",globe,It belongs to the school group.,It starts with 'G'.,crayon,tape,binder,school,math,easy,✏️
I am the number that comes right after 23. What number am I?,24,It is a number.,It is greater than 23.,72,55,65,math,what-am-i,easy,🧮
This is a well-known sports. My first letter is 'P'.,polevault,It belongs to the sports group.,It has 9 letters.,jack,helicopter,hockey,sports,what-am-i,medium,⚽
"In the sports category, this item is very famous. It starts with 'S'.",softball,It belongs to the sports group.,It has 8 letters.,train,volleyball,relay,sports,trivia,medium,⚽
Subtract 2 from 8 and you get the letter count of this silly.,toilet,It belongs to the silly group.,It starts with 'T'.,sponge,knife,broom,silly,math,easy,🤪
"In the sports category, this item is very famous. It starts with 'L'.",longjump,It belongs to the sports group.,It ends with 'P'.,skateboarding,hopscotch,snowboarding,sports,trivia,tricky,⚽
This science is known for having 6 letters in its name.,finger,It belongs to the science group.,It ends with 'R'.,spring,engine,thermometer,science,trivia,tricky,🔬
A fun fact about this silly is that its name starts with 'S' and ends with 'P'.,soap,It belongs to the silly group.,It starts with 'S'.,shower,shelf,couch,silly,trivia,easy,🤪
I sound a little bit like the silly word 'wkulele'. I am a holidays.,ukulele,It belongs to the holidays group.,It has 7 letters.,booth,concert,kinara,holidays,rhyming,medium,🎉
Mix my letters and you get 'rcfurkeit'. I am a space.,firetruck,It belongs to the space group.,It ends with 'K'.,rover,earth,pluto,space,wordplay,tricky,🚀
Count the letters in this nature's name and you get 3. Double that is 6.,fog,It belongs to the nature group.,It starts with 'F'.,frost,meteor,swamp,nature,math,easy,🌿
"Double the number 108 is not me, but half of 108 is!",54,It is a number.,It is between 53 and 55.,32,36,67,math,math,medium,🧮
Take away my first letter and you get something else. Put it back and I am this holidays.,basket,It belongs to the holidays group.,It has 6 letters.,saxophone,parade,dj,holidays,wordplay,medium,🎉
"If you have 45 apples and get 1 more, how many do you have?",46,It is a number.,It is greater than 45.,16,2,38,math,rhyming,easy,🧮
This is a well-known space. My first letter is 'Q'.,quasar,It belongs to the space group.,It starts with 'Q'.,neptune,airplane,weightlessness,space,what-am-i,easy,🚀
This is a well-known food. My first letter is 'A'.,apple,It belongs to the food group.,It has 5 letters.,quesadilla,stew,pear,food,what-am-i,medium,🍎
Subtract 2 from 8 and you get the letter count of this nature.,island,It belongs to the nature group.,It ends with 'D'.,glacier,ice,star,nature,math,tricky,🌿
Take 40 and subtract 5. What do you get?,35,It is a number.,It is greater than 34.,75,54,20,math,lateral,easy,🧮
I sound a little bit like the silly word 'unooker'. I am a sports.,snooker,It belongs to the sports group.,It has 7 letters.,hurdle,marathon,boomerang,sports,rhyming,medium,⚽
Subtract 2 from 10 and you get the letter count of this silly.,bookcase,It belongs to the silly group.,It ends with 'E'.,blouse,pot,plate,silly,math,tricky,🤪
"Half of 8 is 4, which is how many letters this silly has.",iron,It belongs to the silly group.,It starts with 'I'.,pillow,mitten,mug,silly,math,easy,🤪
Count the letters in this science's name and you get 7. Double that is 14.,plastic,It belongs to the science group.,It ends with 'C'.,cotton,glass,skin,science,math,tricky,🔬
My name rhymes with 'pail'. I am part of the science family.,nail,It belongs to the science group.,It ends with 'L'.,tube,pliers,metal,science,rhyming,tricky,🔬
You cannot spell this sports without the letter 'W'.,weightlifting,It belongs to the sports group.,It starts with 'W'.,top,running,bingo,sports,lateral,easy,⚽
You cannot spell this science without the letter 'W'.,wire,It belongs to the science group.,It has 4 letters.,wrist,wedge,atom,science,lateral,medium,🔬
Take 71 and subtract 5. What do you get?,66,It is a number.,It is between 65 and 67.,8,28,83,math,lateral,medium,🧮
You might see this school around. It has 5 letters in its name. What could it be?,nurse,It belongs to the school group.,It has 5 letters.,sandbox,screen,chalk,school,what-am-i,medium,✏️
"Double the number 102 is not me, but half of 102 is!",51,It is a number.,It is between 50 and 52.,85,61,9,math,math,tricky,🧮
A fun fact about this space is that its name starts with 'O' and ends with 'T'.,orbit,It belongs to the space group.,It starts with 'O'.,portal,nebula,gemini,space,trivia,easy,🚀
"If you try to rhyme with me, you might say 'rillow'. What silly am I?",pillow,It belongs to the silly group.,It ends with 'W'.,boot,pot,tie,silly,rhyming,tricky,🤪
Think of a common sports. It ends with 'S'. What is it?,dominoes,It belongs to the sports group.,It starts with 'D'.,surfing,hideandseek,skateboarding,sports,what-am-i,easy,⚽
"If you try to rhyme with me, you might say 'neaf'. What nature am I?",leaf,It belongs to the nature group.,It starts with 'L'.,cloud,night,shrub,nature,rhyming,easy,🌿
"If you try to rhyme with me, you might say 'nung'. What science am I?",lung,It belongs to the science group.,It has 4 letters.,flask,pipe,heat,science,rhyming,medium,🔬
Count the letters in this food's name and you get 9. Double that is 18.,blueberry,It belongs to the food group.,It starts with 'B'.,bread,potato,chip,food,math,easy,🍎
"Double the number 112 is not me, but half of 112 is!",56,It is a number.,It is greater than 55.,15,25,16,math,math,easy,🧮
You cannot spell this sports without the letter 'T'.,top,It belongs to the sports group.,It starts with 'T'.,hammerthrow,lacrosse,bridge,sports,lateral,easy,⚽
Think of a common food. It ends with 'E'. What is it?,cabbage,It belongs to the food group.,It ends with 'E'.,burrito,pretzel,noodle,food,what-am-i,tricky,🍎
Count the letters in this words's name and you get 4. Double that is 8.,kind,It belongs to the words group.,It has 4 letters.,quiet,tall,under,words,math,medium,🔠
This is a well-known science. My first letter is 'A'.,arm,It belongs to the science group.,It has 3 letters.,metal,bucket,drill,science,what-am-i,medium,🔬
A fun fact about this holidays is that its name starts with 'D' and ends with 'J'.,dj,It belongs to the holidays group.,It ends with 'J'.,maraca,carnival,sparkler,holidays,trivia,tricky,🎉
A fun fact about this nature is that its name starts with 'I' and ends with 'E'.,ice,It belongs to the nature group.,It has 3 letters.,sea,reef,rock,nature,trivia,medium,🌿
"Half of 10 is 5, which is how many letters this science has.",wheel,It belongs to the science group.,It starts with 'W'.,hammer,screw,lung,science,math,easy,🔬
Think of a common silly. It ends with 'H'. What is it?,switch,It belongs to the silly group.,It starts with 'S'.,armchair,dress,shoe,silly,what-am-i,easy,🤪
I am the number that comes right after 18. What number am I?,19,It is a number.,It is between 18 and 20.,10,90,50,math,what-am-i,medium,🧮
"In the sports category, this item is very famous. It starts with 'J'.",javelin,It belongs to the sports group.,It starts with 'J'.,helicopter,catch,sweat,sports,trivia,easy,⚽
You cannot spell this school without the letter 'P'.,prize,It belongs to the school group.,It has 5 letters.,desk,alarm,screen,school,lateral,medium,✏️
"If you try to rhyme with me, you might say 'uaxophone'. What holidays am I?",saxophone,It belongs to the holidays group.,It starts with 'S'.,clapper,leprechaun,candle,holidays,rhyming,easy,🎉
You cannot spell this space without the letter 'T'.,taxi,It belongs to the space group.,It has 4 letters.,capricorn,warp,rover,space,lateral,medium,🚀
Count the letters in this science's name and you get 4. Double that is 8.,back,It belongs to the science group.,It has 4 letters.,plastic,kidney,glass,science,math,medium,🔬
"I am a space with exactly 5 letters. My last letter is very important, it is 'E'.",crane,It belongs to the space group.,It starts with 'C'.,scorpio,neptune,timemachine,space,lateral,easy,🚀
I am the answer to 13 plus 1.,14,It is a number.,It is greater than 13.,57,61,77,math,math,easy,🧮
"In the science category, this item is very famous. It starts with 'T'.",tongue,It belongs to the science group.,It ends with 'E'.,nut,circuit,wrist,science,trivia,tricky,🔬
"If you spell my name backwards, it looks like 'eibmoz'.",zombie,It belongs to the holidays group.,It has 6 letters.,kazoo,trumpet,stage,holidays,wordplay,medium,🎉
You cannot spell this holidays without the letter 'O'.,oboe,It belongs to the holidays group.,It starts with 'O'.,egg,guitar,skeleton,holidays,lateral,easy,🎉
Take away my first letter and you get something else. Put it back and I am this sports.,fetch,It belongs to the sports group.,It ends with 'H'.,medal,puzzle,workout,sports,wordplay,tricky,⚽
I am the answer to 62 plus 1.,63,It is a number.,It is greater than 62.,21,78,46,math,math,easy,🧮
"Half of 20 is 10, which is how many letters this food has.",greenbeans,It belongs to the food group.,It has 10 letters.,pecan,orange,corn,food,math,medium,🍎
You cannot spell this words without the letter 'S'.,strong,It belongs to the words group.,It has 6 letters.,quiet,loud,cold,words,lateral,medium,🔠
"I am a food with exactly 6 letters. My last letter is very important, it is 'Y'.",celery,It belongs to the food group.,It has 6 letters.,quesadilla,candy,salad,food,lateral,medium,🍎
Take away my first letter and you get something else. Put it back and I am this sports.,doll,It belongs to the sports group.,It starts with 'D'.,swimming,badminton,poker,sports,wordplay,easy,⚽
"If you try to rhyme with me, you might say 'gar'. What science am I?",ear,It belongs to the science group.,It has 3 letters.,saw,pliers,foot,science,rhyming,medium,🔬
Add 34 and 0 together. What is the total?,34,It is a number.,It is between 33 and 35.,40,93,13,math,lateral,medium,🧮
"In the food category, this item is very famous. It starts with 'L'.",lemon,It belongs to the food group.,It ends with 'N'.,cherry,watermelon,pumpkin,food,trivia,tricky,🍎
"If you spell my name backwards, it looks like 'ladnas'.",sandal,It belongs to the silly group.,It starts with 'S'.,shelf,slipper,skirt,silly,wordplay,easy,🤪
I sound a little bit like the silly word 'oolecule'. I am a science.,molecule,It belongs to the science group.,It ends with 'E'.,plastic,telescope,silk,science,rhyming,tricky,🔬
Think of a common holidays. It ends with 'H'. What is it?,wreath,It belongs to the holidays group.,It has 6 letters.,clapper,xylophone,chick,holidays,what-am-i,medium,🎉
My name rhymes with 'ukin'. I am part of the science family.,skin,It belongs to the science group.,It has 4 letters.,elbow,hand,molecule,science,rhyming,medium,🔬
Mix my letters and you get 'ekareb'. I am a science.,beaker,It belongs to the science group.,It has 6 letters.,tube,elbow,hair,science,wordplay,medium,🔬
Subtract 2 from 6 and you get the letter count of this sports.,jack,It belongs to the sports group.,It starts with 'J'.,hammerthrow,rugby,racquetball,sports,math,easy,⚽
I am the number that comes right after 14. What number am I?,15,It is a number.,It is between 14 and 16.,92,55,65,math,what-am-i,tricky,🧮
This words is known for having 5 letters in its name.,funny,It belongs to the words group.,It has 5 letters.,soft,danger,safe,words,trivia,medium,🔠
"I am a food with exactly 5 letters. My last letter is very important, it is 'D'.",salad,It belongs to the food group.,It starts with 'S'.,celery,zucchini,radish,food,lateral,easy,🍎
Take away my first letter and you get something else. Put it back and I am this animals.,rhino,It belongs to the animals group.,It ends with 'O'.,hawk,gerbil,butterfly,animals,wordplay,tricky,🐾
Subtract 2 from 7 and you get the letter count of this school.,ruler,It belongs to the school group.,It ends with 'R'.,student,homework,folder,school,math,tricky,✏️
Think of a common animals. It ends with 'A'. What is it?,zebra,It belongs to the animals group.,It has 5 letters.,toad,lizard,centipede,animals,what-am-i,medium,🐾
Mix my letters and you get 'oecrpleiht'. I am a sports.,helicopter,It belongs to the sports group.,It starts with 'H'.,judo,boomerang,snowboarding,sports,wordplay,easy,⚽
"In the nature category, this item is very famous. It starts with 'P'.",petal,It belongs to the nature group.,It starts with 'P'.,grass,sky,leaf,nature,trivia,easy,🌿
A fun fact about this animals is that its name starts with 'L' and ends with 'G'.,ladybug,It belongs to the animals group.,It has 7 letters.,spider,whale,grasshopper,animals,trivia,medium,🐾
You cannot spell this sports without the letter 'B'.,basketball,It belongs to the sports group.,It starts with 'B'.,medal,hideandseek,hulahoop,sports,lateral,easy,⚽
You cannot spell this food without the letter 'H'.,honeydew,It belongs to the food group.,It starts with 'H'.,spaghetti,potato,carrot,food,lateral,easy,🍎
This is a well-known food. My first letter is 'C'.,coconut,It belongs to the food group.,It has 7 letters.,raspberry,bread,asparagus,food,what-am-i,medium,🍎
Many kids love this food. It starts with 'P'. Who am I?,plum,It belongs to the food group.,It has 4 letters.,chip,brownie,carrot,food,what-am-i,medium,🍎
I sound a little bit like the silly word 'uhip'. I am a space.,ship,It belongs to the space group.,It starts with 'S'.,cart,taurus,gemini,space,rhyming,easy,🚀
